Article,Serial,Batch,New Fixture,Status,Quantity
CRB4084654,TYS429,,UJ Love Ring SM YG,Available,1
CRB4084654,TYS433,,UJ Love Ring SM YG,Available,1
CRB4084655,QVC928,,UJ Love Ring SM YG,Available,1
CRB4084655,RUA244,,UJ Love Ring SM YG,Available,1
CRB4084655,TAF068,,UJ Love Ring SM YG,Available,1
CRB4084655,TAF069,,UJ Love Ring SM YG,Available,1
CRB4084655,TAF073,,UJ Love Ring SM YG,Available,1
CRB4084655,TAG117,,UJ Love Ring SM YG,Available,1
CRB4084655,TAG120,,UJ Love Ring SM YG,Available,1
CRB4084655,TUC451,,UJ Love Ring SM YG,Available,1
CRB4084656,SWM387,,UJ Love Ring SM YG,Available,1
CRB4084656,SWM548,,UJ Love Ring SM YG,Available,1
CRB4084656,TGE971,,UJ Love Ring SM YG,Available,1
CRB4084656,TGE977,,UJ Love Ring SM YG,Available,1
CRB4084656,TGE979,,UJ Love Ring SM YG,Available,1
CRB4084656,TGE981,,UJ Love Ring SM YG,Available,1
CRB4084656,TGE982,,UJ Love Ring SM YG,Available,1
CRB4084656,TGE984,,UJ Love Ring SM YG,Available,1
CRB4084656,TKD200,,UJ Love Ring SM YG,Available,1
CRB4084656,TMW638,,UJ Love Ring SM YG,Available,1
CRB4084656,TMW645,,UJ Love Ring SM YG,Available,1
CRB4084656,TMW653,,UJ Love Ring SM YG,Available,1
CRB4084657,QAK856,,UJ Love Ring SM YG,Available,1
CRB4084657,TKC903,,UJ Love Ring SM YG,Available,1
CRB4084657,TKC912,,UJ Love Ring SM YG,Available,1
CRB4084657,TKC924,,UJ Love Ring SM YG,Available,1
CRB4084657,TKC928,,UJ Love Ring SM YG,Available,1
CRB4084657,TKC946,,UJ Love Ring SM YG,Available,1
CRB4084657,TPC943,,UJ Love Ring SM YG,Available,1
CRB4084657,TPC952,,UJ Love Ring SM YG,Available,1
CRB4084657,TPC978,,UJ Love Ring SM YG,Available,1
CRB4084658,RQL621,,UJ Love Ring SM YG,Available,1
CRB4084658,RQL622,,UJ Love Ring SM YG,Available,1
CRB4084658,SWS687,,UJ Love Ring SM YG,Available,1
CRB4084658,TAV992,,UJ Love Ring SM YG,Available,1
CRB4084658,TFN797,,UJ Love Ring SM YG,Available,1
CRB4084658,TFN806,,UJ Love Ring SM YG,Available,1
CRB4084658,TFN807,,UJ Love Ring SM YG,Available,1
CRB4084658,TPD085,,UJ Love Ring SM YG,Available,1
CRB4084658,TPD101,,UJ Love Ring SM YG,Available,1
CRB4084658,ULU184,,UJ Love Ring SM YG,Available,1
CRB4084659,RYP829,,S07,Available,1
CRB4084659,SNS302,,UJ Love Ring SM YG,Available,1
CRB4084659,SZS058,,UJ Love Ring SM YG,Available,1
CRB4084659,TMW723,,UJ Love Ring SM YG,Available,1
CRB4084659,TMW754,,UJ Love Ring SM YG,Available,1
CRB4084659,TMW759,,UJ Love Ring SM YG,Available,1
CRB4084659,TPD128,,UJ Love Ring SM YG,Available,1
CRB4084659,TPD136,,UJ Love Ring SM YG,Available,1
CRB4084659,TPD143,,UJ Love Ring SM YG,Available,1
CRB4084660,SWT258,,UJ Love Ring SM YG,Available,1
CRB4084660,TEA112,,UJ Love Ring SM YG,Available,1
CRB4084660,TFR680,,UJ Love Ring SM YG,Available,1
CRB4084660,TFR685,,UJ Love Ring SM YG,Available,1
CRB4084660,UBQ649,,UJ Love Ring SM YG,Available,1
CRB4084660,UBQ652,,UJ Love Ring SM YG,Available,1
CRB4084661,TFO168,,UJ Love Ring SM YG,Available,1
CRB4084661,TFO169,,UJ Love Ring SM YG,Available,1
CRB4084661,TIR472,,UJ Love Ring SM YG,Available,1
CRB4084662,TAE124,,UJ Love Ring SM YG,Available,1
CRB4084662,TFN631,,UJ Love Ring SM YG,Available,1
CRB4084662,TMM099,,UJ Love Ring SM YG,Available,1
CRB4084663,TIT976,,UJ Love Ring SM YG,Available,1
